sysDescr,['Linux gerencia-VirtualBox 4.15.0-54-generic #58-Ubuntu SMP Mon Jun 24 10:55:24 UTC 2019 x86_64']
sysObjectID,['.1.3.6.1.4.1.8072.3.2.10']
sysUpTimeInstance,['473826']
sysContact,['Me <me@example.org>']
sysName,['gerencia-VirtualBox']
sysLocation,['Sitting on the Dock of the Bay']
sysServices,['72']
sysORLastChange,['2']
sysORID,['.1.3.6.1.6.3.11.3.1.1']
sysORID,['.1.3.6.1.6.3.15.2.1.1']
sysORID,['.1.3.6.1.6.3.10.3.1.1']
sysORID,['.1.3.6.1.6.3.1']
sysORID,['.1.3.6.1.6.3.16.2.2.1']
sysORID,['.1.3.6.1.2.1.49']
sysORID,['.1.3.6.1.2.1.4']
sysORID,['.1.3.6.1.2.1.50']
sysORID,['.1.3.6.1.6.3.13.3.1.3']
sysORID,['.1.3.6.1.2.1.92']
sysORDescr,['The MIB for Message Processing and Dispatching.']
sysORDescr,['The management information definitions for the SNMP User-based Security Model.']
sysORDescr,['The SNMP Management Architecture MIB.']
sysORDescr,['The MIB module for SNMPv2 entities']
sysORDescr,['View-based Access Control Model for SNMP.']
sysORDescr,['The MIB module for managing TCP implementations']
sysORDescr,['The MIB module for managing IP and ICMP implementations']
sysORDescr,['The MIB module for managing UDP implementations']
sysORDescr,"['The MIB modules for managing SNMP Notification, plus filtering.']"
sysORDescr,['The MIB module for logging SNMP Notifications.']
sysORUpTime,['2']
sysORUpTime,['2']
sysORUpTime,['2']
sysORUpTime,['2']
sysORUpTime,['2']
sysORUpTime,['2']
sysORUpTime,['2']
sysORUpTime,['2']
sysORUpTime,['2']
sysORUpTime,['2']
ifNumber,['2']
ifIndex,['1']
ifIndex,['2']
ifDescr,['lo']
ifDescr,['Intel Corporation 82540EM Gigabit Ethernet Controller']
ifType,['24']
ifType,['6']
ifMtu,['65536']
ifMtu,['1500']
ifSpeed,['10000000']
ifSpeed,['1000000000']
ifPhysAddress,['']
ifPhysAddress,"[""\x08\x00'UCu""]"
ifAdminStatus,['1']
ifAdminStatus,['1']
ifOperStatus,['1']
ifOperStatus,['1']
ifLastChange,['0']
ifLastChange,['0']
ifInOctets,['81564693']
ifInOctets,['35098099']
ifInUcastPkts,['435343']
ifInUcastPkts,['24199']
ifInNUcastPkts,['0']
ifInNUcastPkts,['0']
ifInDiscards,['0']
ifInDiscards,['0']
ifInErrors,['0']
ifInErrors,['0']
ifInUnknownProtos,['0']
ifInUnknownProtos,['0']
ifOutOctets,['81564693']
ifOutOctets,['356299']
ifOutUcastPkts,['435343']
ifOutUcastPkts,['5293']
ifOutNUcastPkts,['0']
ifOutNUcastPkts,['0']
ifOutDiscards,['0']
ifOutDiscards,['0']
ifOutErrors,['0']
ifOutErrors,['0']
ifOutQLen,['0']
ifOutQLen,['0']
ifSpecific,['.0.0']
ifSpecific,['.0.0']
mib-2.3.1.1.1.2.1.10.0.2.2,['2']
mib-2.3.1.1.2.2.1.10.0.2.2,['RT\x00\x125\x02']
mib-2.3.1.1.3.2.1.10.0.2.2,['10.0.2.2']
ipForwarding,['2']
ipDefaultTTL,['64']
ipInReceives,['441498']
ipInHdrErrors,['0']
ipInAddrErrors,['1']
ipForwDatagrams,['0']
ipInUnknownProtos,['0']
ipInDiscards,['0']
ipInDelivers,['441495']
ipOutRequests,['440738']
ipOutDiscards,['0']
ipOutNoRoutes,['0']
ipReasmTimeout,['0']
ipReasmReqds,['0']
ipReasmOKs,['0']
ipReasmFails,['0']
ipFragOKs,['0']
ipFragFails,['0']
ipFragCreates,['0']
ipAdEntAddr,['10.0.2.15']
